national,south,north,east,central,west,year,month
42,36,41,42,33,24,2016,12
41,36,40,41,33,24,2016,12
42,37,42,41,34,23,2016,12
41,38,41,41,33,23,2016,12
42,38,41,42,33,24,2016,12
42,39,41,42,33,25,2016,12
44,42,41,44,34,25,2016,12
45,42,41,45,36,26,2016,12
48,42,41,48,36,27,2016,12
48,42,42,48,36,27,2016,12
48,42,43,48,36,27,2016,12
50,44,44,50,38,28,2016,12
51,42,44,51,39,29,2016,12
52,42,45,52,39,29,2016,12
53,44,46,53,43,29,2016,12
54,46,47,54,46,29,2016,12
54,51,51,54,50,30,2016,12
55,53,53,55,53,36,2016,12
56,53,55,56,54,42,2016,12
56,54,55,56,55,45,2016,12
57,54,55,57,55,48,2016,12
57,54,56,57,56,51,2016,12
58,55,56,58,56,52,2016,12
58,55,57,58,56,53,2016,12
58,56,57,58,57,54,2016,12
59,56,57,59,57,55,2016,12
59,56,57,59,57,55,2016,12
59,56,57,59,58,55,2016,12
59,56,58,59,58,55,2016,12
59,56,58,59,58,55,2016,12
59,56,59,59,58,55,2016,12
59,56,59,58,58,55,2016,12
60,56,60,57,58,55,2016,12
60,56,60,57,58,55,2016,12
60,56,60,57,57,55,2016,12
61,57,61,56,58,55,2016,12
61,57,61,56,57,55,2016,12
60,57,60,55,57,55,2016,12
60,56,60,54,56,55,2016,12
59,56,59,53,55,55,2016,12
55,54,55,49,52,52,2016,12
55,54,55,46,51,51,2016,12
55,54,55,45,48,49,2016,12
54,53,54,42,44,45,2016,12
54,53,54,41,43,42,2016,12
54,52,54,40,42,40,2016,12
53,52,53,41,42,37,2016,12
53,53,53,42,41,38,2016,12
53,52,53,41,40,38,2016,12
54,53,54,40,41,39,2016,12
53,52,53,41,41,40,2016,12
53,52,53,41,40,41,2016,12
53,53,53,42,41,42,2016,12
53,52,53,45,43,42,2016,12
53,52,53,47,44,43,2016,12
53,52,53,46,44,45,2016,12
53,52,53,45,44,45,2016,12
53,52,53,45,43,45,2016,12
53,53,53,46,44,45,2016,12
53,52,53,46,44,46,2016,12
53,53,53,46,43,45,2016,12
53,53,53,46,43,44,2016,12
53,53,53,46,44,44,2016,12
53,53,53,48,44,44,2016,12
53,53,53,47,45,43,2016,12
53,52,53,48,46,44,2016,12
53,52,53,48,47,46,2016,12
53,52,53,48,47,46,2016,12
53,52,53,48,49,45,2016,12
53,51,53,48,49,46,2016,12
53,51,53,48,50,51,2016,12
54,52,53,49,51,54,2016,12
56,53,53,52,52,56,2016,12
59,54,53,52,52,59,2016,12
55,55,53,53,54,45,2016,12
55,55,53,54,54,46,2016,12
57,57,54,55,56,46,2016,12
56,56,53,55,56,46,2016,12
56,56,53,55,56,45,2016,12
57,56,53,55,57,45,2016,12
57,56,53,55,57,43,2016,12
57,56,53,56,57,43,2016,12
58,56,53,56,58,43,2016,12
58,56,53,56,58,44,2016,12
58,56,53,56,58,45,2016,12
59,56,53,56,59,44,2016,12
58,57,53,56,58,44,2016,12
58,57,53,56,58,43,2016,12
58,57,53,56,58,42,2016,12
58,57,53,56,58,41,2016,12
57,57,53,56,57,39,2016,12
57,56,53,56,57,40,2016,12
57,56,53,56,57,41,2016,12
55,54,51,54,55,38,2016,12
54,53,51,53,54,37,2016,12
52,52,48,52,51,35,2016,12
53,53,49,52,51,33,2016,12
53,53,49,51,49,33,2016,12
52,52,50,51,49,34,2016,12
52,52,51,51,48,35,2016,12
52,52,50,50,48,35,2016,12
52,52,49,52,47,37,2016,12
52,52,49,52,46,38,2016,12
52,52,48,52,44,38,2016,12
52,52,48,52,42,38,2016,12
52,51,48,52,42,37,2016,12
51,51,48,51,41,36,2016,12
51,49,47,51,40,36,2016,12
51,49,47,51,38,35,2016,12
49,48,46,49,37,35,2016,12
49,48,46,49,38,36,2016,12
48,48,45,47,38,37,2016,12
50,50,45,49,39,38,2016,12
49,49,45,49,42,39,2016,12
45,40,44,45,39,42,2016,12
51,39,43,45,39,51,2016,12
54,39,43,47,41,54,2016,12
57,40,42,46,41,57,2016,12
59,42,41,46,42,59,2016,12
52,43,40,47,40,52,2016,12
52,42,42,47,41,52,2016,12
52,41,42,46,41,52,2016,12
52,42,43,46,41,52,2016,12
52,41,43,46,41,52,2016,12
52,42,43,46,42,52,2016,12
53,45,44,49,44,53,2016,12
53,46,44,50,44,53,2016,12
54,46,43,49,44,54,2016,12
53,45,43,48,42,53,2016,12
53,43,43,48,41,53,2016,12
53,43,43,48,40,53,2016,12
53,44,42,46,40,53,2016,12
52,46,40,45,38,52,2016,12
52,46,39,43,36,52,2016,12
51,44,38,43,34,51,2016,12
51,43,37,42,32,51,2016,12
47,42,40,42,33,47,2016,12
44,39,43,44,33,43,2016,12
47,38,47,47,35,42,2016,12
51,44,48,51,39,41,2016,12
52,46,48,52,40,42,2016,12
51,46,48,51,40,42,2016,12
52,47,48,52,41,42,2016,12
52,48,48,52,41,42,2016,12
52,48,48,52,41,42,2016,12
51,46,46,51,40,41,2016,12
48,45,46,48,38,37,2016,12
48,44,48,48,39,36,2016,12
49,44,48,49,38,34,2016,12
49,44,48,49,37,33,2016,12
49,43,48,49,37,37,2016,12
48,42,48,48,37,36,2016,12
48,43,48,48,37,35,2016,12
48,42,47,48,37,36,2016,12
49,42,48,49,36,42,2016,12
52,39,49,49,36,52,2016,12
54,38,50,49,37,54,2016,12
56,40,51,50,38,56,2016,12
58,40,51,51,38,58,2016,12
60,41,49,51,37,60,2016,12
52,43,46,49,37,52,2016,12
51,39,46,48,33,51,2016,12
52,37,46,48,33,52,2016,12
52,37,45,47,33,52,2016,12
53,37,46,46,32,53,2016,12
53,36,44,45,32,53,2016,12
53,36,44,44,31,53,2016,12
54,35,45,44,31,54,2016,12
54,35,45,46,31,54,2016,12
54,34,43,46,31,54,2016,12
55,34,43,44,31,55,2016,12
55,34,44,45,32,55,2016,12
54,35,45,46,34,54,2016,12
54,36,45,47,35,54,2016,12
55,37,45,47,35,55,2016,12
54,36,46,47,37,54,2016,12
54,35,46,47,38,54,2016,12
54,35,44,46,38,54,2016,12
54,34,43,45,38,54,2016,12
53,34,43,44,38,53,2016,12
53,33,42,43,35,53,2016,12
53,32,41,41,35,53,2016,12
53,30,40,40,34,53,2016,12
52,28,38,35,32,52,2016,12
51,28,39,33,31,51,2016,12
48,27,39,34,31,48,2016,12
48,28,39,35,31,48,2016,12
49,27,39,35,31,49,2016,12
47,28,38,36,31,47,2016,12
47,28,37,34,32,47,2016,12
46,28,38,34,31,46,2016,12
44,29,38,33,31,44,2016,12
41,28,36,30,29,41,2016,12
38,27,37,30,28,38,2016,12
39,27,35,28,24,39,2016,12
41,28,36,27,24,41,2016,12
42,28,36,28,23,42,2016,12
44,28,36,27,23,44,2016,12
43,28,37,27,24,43,2016,12
40,28,38,28,25,40,2016,12
40,29,37,29,25,40,2016,12
38,31,37,29,27,38,2016,12
39,31,39,30,28,38,2016,12
43,32,43,34,30,37,2016,12
45,35,45,38,33,40,2016,12
47,38,47,40,35,42,2016,12
51,40,51,42,37,42,2016,12
52,42,52,44,40,44,2016,12
53,44,53,45,42,45,2016,12
53,47,53,52,47,49,2016,12
54,51,54,53,49,51,2016,12
54,52,54,54,51,53,2016,12
55,53,55,54,52,53,2016,12
55,53,55,55,52,54,2016,12
56,53,56,55,52,54,2016,12
57,54,57,56,53,54,2016,12
57,54,57,56,53,54,2016,12
58,55,58,57,54,54,2016,12
58,55,58,57,54,54,2016,12
59,56,59,58,55,54,2016,12
58,56,58,58,55,54,2016,12
58,56,58,58,54,54,2016,12
58,56,58,58,54,54,2016,12
58,55,58,57,55,54,2016,12
58,55,58,57,55,54,2016,12
58,55,58,57,55,54,2016,12
58,55,58,56,54,54,2016,12
57,55,57,57,54,53,2016,12
58,55,58,57,54,53,2016,12
58,55,58,57,54,53,2016,12
59,55,59,57,54,53,2016,12
58,55,58,57,54,53,2016,12
58,54,58,57,54,52,2016,12
58,54,58,57,54,52,2016,12
58,54,58,57,54,53,2016,12
58,54,58,57,54,52,2016,12
57,54,57,57,54,52,2016,12
57,54,57,56,53,52,2016,12
56,54,56,56,53,52,2016,12
56,54,56,55,53,51,2016,12
55,53,55,55,53,51,2016,12
56,53,55,56,53,50,2016,12
55,53,55,55,53,50,2016,12
55,53,55,55,52,50,2016,12
57,53,57,57,52,51,2016,12
57,54,57,57,52,51,2016,12
57,53,57,57,52,52,2016,12
58,53,58,56,52,52,2016,12
59,53,59,55,53,52,2016,12
60,52,60,55,52,52,2016,12
60,52,60,55,52,52,2016,12
59,51,59,55,52,52,2016,12
59,52,59,56,52,52,2016,12
60,53,60,56,53,52,2016,12
60,53,60,56,54,51,2016,12
61,54,61,57,54,52,2016,12
62,54,62,57,55,53,2016,12
63,54,63,58,56,53,2016,12
64,55,64,59,57,54,2016,12
66,55,66,60,57,54,2016,12
67,57,67,61,58,56,2016,12
69,60,69,62,61,58,2016,12
69,61,69,62,62,60,2016,12
69,61,69,61,62,61,2016,12
69,62,69,60,63,61,2016,12
69,62,69,60,63,61,2016,12
69,62,69,60,63,61,2016,12
68,62,68,60,63,61,2016,12
67,62,67,60,62,61,2016,12
66,63,66,60,62,62,2016,12
66,63,66,60,62,62,2016,12
66,62,66,60,62,62,2016,12
66,62,66,60,62,62,2016,12
65,62,65,60,63,62,2016,12
65,64,65,60,63,62,2016,12
66,64,66,60,63,62,2016,12
66,65,66,61,63,63,2016,12
66,66,66,61,64,63,2016,12
66,66,66,62,64,63,2016,12
67,66,67,63,67,62,2016,12
68,67,65,63,68,62,2016,12
67,67,64,62,67,61,2016,12
66,66,64,61,66,61,2016,12
65,65,63,61,65,60,2016,12
66,64,63,62,66,58,2016,12
66,64,63,62,66,58,2016,12
66,64,63,62,66,58,2016,12
67,65,62,62,67,58,2016,12
67,65,62,64,67,57,2016,12
68,65,63,64,68,57,2016,12
68,65,63,64,68,57,2016,12
67,65,63,64,67,56,2016,12
67,64,63,64,67,56,2016,12
67,62,62,64,67,56,2016,12
65,61,61,62,65,55,2016,12
64,60,61,61,64,55,2016,12
61,60,60,60,61,56,2016,12
60,59,58,59,60,57,2016,12
58,57,58,58,58,56,2016,12
58,57,58,58,58,55,2016,12
58,57,58,58,58,55,2016,12
59,57,58,58,59,55,2016,12
58,57,58,58,58,55,2016,12
58,56,58,58,57,55,2016,12
58,56,58,58,56,55,2016,12
59,56,59,59,56,55,2016,12
59,56,59,59,55,55,2016,12
59,56,59,59,55,55,2016,12
59,55,58,59,55,55,2016,12
58,55,57,58,54,54,2016,12
56,54,56,56,54,54,2016,12
55,53,55,54,52,53,2016,12
54,52,54,53,52,52,2016,12
53,51,53,53,51,50,2016,12
53,50,53,52,49,47,2016,12
52,46,52,51,45,48,2016,12
52,46,52,51,46,50,2016,12
53,45,51,51,47,53,2016,12
53,44,50,51,46,53,2016,12
53,43,48,50,45,53,2016,12
53,44,47,48,45,53,2016,12
53,45,46,49,44,53,2016,12
53,44,44,47,42,53,2016,12
52,42,42,47,39,52,2016,12
52,42,41,46,36,52,2016,12
49,39,40,46,35,49,2016,12
48,39,40,46,35,48,2016,12
47,38,37,44,33,47,2016,12
47,37,35,42,33,47,2016,12
47,36,36,42,32,47,2016,12
47,37,36,41,31,47,2016,12
48,38,37,42,33,48,2016,12
48,39,39,44,34,48,2016,12
45,39,40,45,34,36,2016,12
48,40,41,48,35,38,2016,12
48,39,42,48,35,42,2016,12
50,41,43,50,36,46,2016,12
50,42,42,50,36,49,2016,12
51,42,43,51,36,48,2016,12
50,42,47,50,36,44,2016,12
50,42,48,50,36,45,2016,12
50,42,50,49,36,45,2016,12
51,41,51,50,36,45,2016,12
52,41,52,51,38,45,2016,12
52,42,52,51,40,45,2016,12
52,42,52,52,40,46,2016,12
52,43,52,51,40,45,2016,12
51,41,51,51,40,44,2016,12
51,41,51,50,39,43,2016,12
51,40,51,50,39,42,2016,12
51,39,51,49,37,42,2016,12
49,39,49,48,36,42,2016,12
48,40,48,47,36,42,2016,12
47,39,47,46,35,40,2016,12
44,35,44,43,32,28,2016,12
43,35,43,41,31,27,2016,12
42,33,42,38,30,24,2016,12
40,31,40,37,28,24,2016,12
39,30,39,37,27,22,2016,12
37,29,37,37,28,23,2016,12
34,29,32,34,25,21,2016,12
32,26,30,32,23,21,2016,12
29,26,27,29,21,19,2016,12
27,25,26,27,20,18,2016,12
27,24,26,27,20,18,2016,12
27,24,25,27,20,18,2016,12
27,23,25,27,20,18,2016,12
27,23,25,27,20,18,2016,12
27,23,24,27,20,18,2016,12
27,23,26,27,21,19,2016,12
28,23,27,28,21,19,2016,12
31,23,31,30,22,21,2016,12
33,24,33,31,22,22,2016,12
33,24,33,31,22,22,2016,12
33,24,33,32,24,22,2016,12
36,29,36,36,27,24,2016,12
36,30,36,36,26,24,2016,12
39,30,38,39,28,25,2016,12
42,32,42,40,30,25,2016,12
43,33,43,39,31,26,2016,12
43,35,43,40,33,26,2016,12
44,36,44,41,33,27,2016,12
46,37,46,42,33,29,2016,12
47,37,47,44,33,29,2016,12
49,37,49,46,33,30,2016,12
48,37,48,48,33,31,2016,12
50,38,48,50,33,31,2016,12
49,38,48,49,33,31,2016,12
50,38,46,50,32,31,2016,12
51,39,46,51,33,31,2016,12
51,39,45,51,33,30,2016,12
51,40,45,51,35,32,2016,12
51,42,45,51,36,35,2016,12
52,44,46,52,38,38,2016,12
52,45,46,52,39,37,2016,12
51,43,45,51,37,37,2016,12
51,40,43,51,37,36,2016,12
51,39,43,51,37,35,2016,12
49,40,42,49,36,34,2016,12
51,39,41,51,35,35,2016,12
52,39,43,52,34,36,2016,12
53,39,44,53,33,37,2016,12
53,40,44,53,36,36,2016,12
54,39,44,54,37,37,2016,12
54,40,44,54,39,37,2016,12
55,40,44,55,41,40,2016,12
55,41,46,55,42,41,2016,12
55,42,47,55,43,41,2016,12
55,44,48,55,44,41,2016,12
55,45,49,55,46,41,2016,12
55,47,50,55,48,43,2016,12
55,47,49,55,48,44,2016,12
56,47,49,56,46,41,2016,12
56,45,49,56,46,40,2016,12
55,43,48,55,40,37,2016,12
54,45,43,54,41,39,2016,12
52,41,37,52,39,36,2016,12
52,39,38,52,36,36,2016,12
52,39,38,52,34,34,2016,12
52,40,39,52,33,35,2016,12
50,40,39,50,32,33,2016,12
49,38,36,49,30,31,2016,12
49,36,36,49,30,31,2016,12
50,35,35,50,28,32,2016,12
51,33,34,51,27,30,2016,12
51,32,35,51,26,28,2016,12
49,32,35,49,26,29,2016,12
48,31,35,48,25,29,2016,12
48,30,35,48,25,29,2016,12
47,30,35,47,25,30,2016,12
47,29,36,47,26,31,2016,12
48,29,36,48,27,31,2016,12
49,33,36,49,29,31,2016,12
49,29,36,49,28,30,2016,12
48,28,36,48,26,30,2016,12
49,28,37,49,26,30,2016,12
49,29,38,49,26,29,2016,12
49,29,39,49,27,29,2016,12
43,27,35,43,27,29,2016,12
41,26,34,41,27,27,2016,12
41,25,33,41,26,26,2016,12
40,25,33,40,25,26,2016,12
39,26,31,39,25,26,2016,12
37,25,32,37,25,26,2016,12
39,25,32,39,24,25,2016,12
37,26,32,37,24,26,2016,12
35,26,31,35,24,25,2016,12
34,26,31,34,24,26,2016,12
35,27,31,35,24,28,2016,12
35,27,31,35,25,29,2016,12
35,27,31,35,25,28,2016,12
35,28,31,35,25,28,2016,12
36,28,30,36,25,28,2016,12
35,30,33,35,27,29,2016,12
35,26,33,35,25,29,2016,12
35,26,33,35,24,28,2016,12
36,26,33,36,24,26,2016,12
36,27,31,36,24,27,2016,12
37,28,32,37,24,26,2016,12
38,29,33,38,25,27,2016,12
38,30,33,38,24,27,2016,12
37,30,33,37,24,27,2016,12
36,30,32,36,24,27,2016,12
36,31,32,36,24,27,2016,12
37,29,33,37,24,27,2016,12
37,29,32,37,23,27,2016,12
36,28,31,36,23,27,2016,12
36,27,30,36,23,26,2016,12
36,27,30,36,23,26,2016,12
36,26,29,36,22,24,2016,12
36,25,29,36,22,22,2016,12
37,25,30,37,21,20,2016,12
38,24,30,38,21,20,2016,12
38,24,29,38,20,20,2016,12
38,25,29,38,20,20,2016,12
38,22,27,38,17,18,2016,12
37,22,26,37,17,18,2016,12
38,22,27,38,18,19,2016,12
37,23,27,37,18,19,2016,12
37,22,28,37,19,19,2016,12
38,22,29,38,19,18,2016,12
37,22,27,37,19,19,2016,12
36,21,28,36,19,19,2016,12
36,21,29,36,19,19,2016,12
36,21,28,36,18,19,2016,12
36,21,28,36,19,19,2016,12
35,21,28,35,19,19,2016,12
36,21,27,36,19,19,2016,12
35,22,28,35,19,19,2016,12
36,22,28,36,19,19,2016,12
37,22,29,37,19,19,2016,12
38,23,30,38,19,20,2016,12
37,23,30,37,20,21,2016,12
35,23,30,35,21,22,2016,12
34,23,30,34,21,21,2016,12
34,22,29,34,21,21,2016,12
48,23,30,48,22,20,2016,12
48,24,30,48,21,20,2016,12
48,24,30,48,21,20,2016,12
49,23,29,49,21,20,2016,12
48,24,29,48,21,21,2016,12
47,23,27,47,20,21,2016,12
47,22,29,47,20,21,2016,12
48,23,27,48,20,20,2016,12
50,23,27,50,21,20,2016,12
51,24,27,51,22,20,2016,12
51,25,28,51,24,21,2016,12
48,24,28,48,25,21,2016,12
51,29,31,51,28,21,2016,12
41,29,32,41,31,26,2016,12
42,31,34,42,33,26,2016,12
44,32,36,44,35,27,2016,12
46,34,38,46,38,28,2016,12
47,37,39,47,40,29,2016,12
48,39,39,48,44,32,2016,12
51,42,43,51,48,37,2016,12
51,44,46,51,48,38,2016,12
52,45,48,52,50,41,2016,12
52,48,51,52,51,43,2016,12
53,50,52,53,52,46,2016,12
54,52,52,54,52,47,2016,12
55,52,53,55,53,49,2016,12
55,53,54,55,53,51,2016,12
56,53,55,56,54,52,2016,12
57,54,56,57,54,52,2016,12
58,54,56,58,55,53,2016,12
58,54,57,58,55,54,2016,12
58,54,56,58,56,54,2016,12
58,54,57,58,56,55,2016,12
58,55,57,58,56,55,2016,12
58,55,57,58,56,55,2016,12
58,55,57,58,55,55,2016,12
58,55,56,58,55,54,2016,12
57,55,56,57,55,55,2016,12
57,55,56,57,55,54,2016,12
57,54,56,57,54,54,2016,12
57,54,56,57,54,54,2016,12
57,54,56,57,53,53,2016,12
56,53,55,56,52,52,2016,12
56,53,56,56,52,52,2016,12
56,52,55,56,52,52,2016,12
56,52,55,56,51,52,2016,12
55,52,55,55,51,52,2016,12
55,51,55,54,50,52,2016,12
55,52,55,54,48,51,2016,12
54,50,54,54,47,51,2016,12
53,49,53,53,46,51,2016,12
53,48,53,53,45,48,2016,12
53,48,53,53,44,48,2016,12
53,47,53,53,42,47,2016,12
53,46,53,53,41,46,2016,12
53,45,53,52,40,46,2016,12
53,45,53,53,41,45,2016,12
53,47,53,52,42,44,2016,12
53,46,53,52,40,44,2016,12
52,45,52,52,38,44,2016,12
52,44,52,52,37,45,2016,12
51,43,51,51,36,44,2016,12
50,41,49,50,34,43,2016,12
47,38,45,47,31,40,2016,12
44,37,44,44,30,39,2016,12
42,36,41,42,30,37,2016,12
41,35,39,41,28,35,2016,12
38,34,38,38,28,33,2016,12
36,31,35,36,27,31,2016,12
35,30,33,35,26,29,2016,12
35,29,32,35,25,30,2016,12
34,31,32,34,25,29,2016,12
33,30,33,33,25,28,2016,12
33,30,33,31,24,28,2016,12
31,30,31,31,25,26,2016,12
31,29,31,31,25,27,2016,12
30,30,30,30,25,26,2016,12
30,30,30,30,25,25,2016,12
30,29,27,30,23,25,2016,12
32,28,28,32,23,25,2016,12
33,28,30,33,23,25,2016,12
33,28,31,33,24,25,2016,12
35,29,32,35,25,25,2016,12
36,30,33,36,26,26,2016,12
38,32,34,38,28,26,2016,12
